"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2017,"1",1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",484
2017,"1",1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",203
2017,"1",1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",214
2017,"1",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",316
2017,"1",2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",240
2017,"1",2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",378
2017,"1",2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",435
2017,"1",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",405
2017,"1",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",450
2017,"1",2,"Eixample",10,"Sant Antoni","Contractes de lloguer",255
2017,"1",3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",266
2017,"1",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",1
2017,"1",3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",91
2017,"1",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",62
2017,"1",3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",130
2017,"1",3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",100
2017,"1",3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",153
2017,"1",3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",302
2017,"1",4,"Les Corts",19,"les Corts","Contractes de lloguer",304
2017,"1",4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",120
2017,"1",4,"Les Corts",21,"Pedralbes","Contractes de lloguer",40
2017,"1",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",20
2017,"1",5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",150
2017,"1",5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",68
2017,"1",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",174
2017,"1",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",400
