"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2015,"1",1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",313
2015,"1",1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",150
2015,"1",1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",155
2015,"1",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",212
2015,"1",2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",176
2015,"1",2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",341
2015,"1",2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",286
2015,"1",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",336
2015,"1",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",380
2015,"1",2,"Eixample",10,"Sant Antoni","Contractes de lloguer",226
2015,"1",3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",241
2015,"1",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",2
2015,"1",3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",75
2015,"1",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",46
2015,"1",3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",102
2015,"1",3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",77
2015,"1",3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",128
2015,"1",3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",228
2015,"1",4,"Les Corts",19,"les Corts","Contractes de lloguer",211
2015,"1",4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",82
2015,"1",4,"Les Corts",21,"Pedralbes","Contractes de lloguer",47
2015,"1",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",7
2015,"1",5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",113
