year,quarter,district_code,district_name,neighborhood_code,neighborhood_name,euros_month,euros_m2_month,num_agreements
2017,4,3,Sants-Montjuïc,15,Hostafrancs,771.78,13.19,162
2017,4,3,Sants-Montjuïc,16,la Bordeta,786.53,11.96,116
2017,4,3,Sants-Montjuïc,17,Sants - Badal,772.86,13.29,171
2017,4,3,Sants-Montjuïc,18,Sants,806.56,13.49,401
2017,4,4,Les Corts,19,les Corts,1043.76,14.65,360
2017,4,4,Les Corts,20,la Maternitat i Sant Ramon,935.38,13.44,178
2017,4,4,Les Corts,21,Pedralbes,1737.92,15.22,42
2017,4,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1213.95,18.56,19
2017,4,5,Sarrià-Sant Gervasi,23,Sarrià,1334.77,17.32,194
2017,4,5,Sarrià-Sant Gervasi,24,les Tres Torres,1588.53,18.38,95
2017,4,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1198.24,16.19,223
2017,4,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1315.8,14.64,395
2017,4,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,938.2,15.32,363
2017,4,6,Gràcia,28,Vallcarca i els Penitents,875.53,13.97,165
2017,4,6,Gràcia,29,el Coll,711.57,11.7,56
2017,4,6,Gràcia,30,la Salut,741.29,11.55,147
2017,4,6,Gràcia,31,la Vila de Gràcia,879.85,15.07,740
2017,4,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,862.51,13.48,360
2017,4,7,Horta-Guinardó,33,el Baix Guinardó,773.02,12.37,199
2017,4,7,Horta-Guinardó,34,Can Baró,693.65,12.63,81
2017,4,7,Horta-Guinardó,35,el Guinardó,759.06,12.48,307
2017,4,7,Horta-Guinardó,36,la Font d'en Fargues,822.82,12.31,39
2017,4,7,Horta-Guinardó,37,el Carmel,609.11,11.14,193
2017,4,7,Horta-Guinardó,38,la Teixonera,616.32,11.41,81
2017,4,7,Horta-Guinardó,39,Sant Genís dels Agudells,672.7,9.52,37
2017,4,7,Horta-Guinardó,40,Montbau,754.69,13.54,40
2017,4,7,Horta-Guinardó,41,la Vall d'Hebron,865.42,12.93,24
2017,4,7,Horta-Guinardó,43,Horta,708.88,12.29,151
2017,4,8,Nou Barris,44,Vilapicina i la Torre Llobeta,723.34,11.57,172
2017,4,8,Nou Barris,45,Porta,682.83,11.01,149
2017,4,8,Nou Barris,46,el Turó de la Peira,653.52,11.09,96
2017,4,8,Nou Barris,47,Can Peguera,278.37399999999997,7.6659999999999995,2
2017,4,8,Nou Barris,48,la Guineueta,693.4,9.83,88
2017,4,8,Nou Barris,49,Canyelles,656.15,8.96,13
2017,4,8,Nou Barris,50,les Roquetes,565.18,10.86,71
2017,4,8,Nou Barris,51,Verdun,600.37,11.68,66
2017,4,8,Nou Barris,52,la Prosperitat,641.21,11.44,145
2017,4,8,Nou Barris,53,la Trinitat Nova,551.22,10.81,37
2017,4,8,Nou Barris,54,Torre Baró,448.23,7.17,12
2017,4,8,Nou Barris,55,Ciutat Meridiana,425.51,7.55,34
2017,4,8,Nou Barris,56,Vallbona,390.17333333333335,5.816666666666666,5
2017,4,9,Sant Andreu,57,la Trinitat Vella,535.92,10.14,48
