"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2021,1,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",563
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",228
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",98
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",338
2021,1,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",351
2021,1,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",547
2021,1,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",613
2021,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",609
2021,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",648
2021,1,2,"Eixample",10,"Sant Antoni","Contractes de lloguer",442
2021,1,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",407
2021,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",1
2021,1,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",125
2021,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",66
2021,1,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",159
2021,1,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",120
2021,1,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",241
2021,1,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",396
2021,1,4,"Les Corts",19,"les Corts","Contractes de lloguer",384
2021,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",177
2021,1,4,"Les Corts",21,"Pedralbes","Contractes de lloguer",56
2021,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",20
2021,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",206
2021,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",107
2021,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",237
2021,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",475
2021,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",378
2021,1,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",155
2021,1,6,"Gràcia",29,"el Coll","Contractes de lloguer",52
2021,1,6,"Gràcia",30,"la Salut","Contractes de lloguer",101
2021,1,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",775
2021,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",390
2021,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",237
2021,1,7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",66
2021,1,7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",317
2021,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",44
2021,1,7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",172
2021,1,7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",77
2021,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",44
2021,1,7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",38
2021,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",28
2021,1,7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",1
2021,1,7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",165
2021,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",145
2021,1,8,"Nou Barris",45,"Porta","Contractes de lloguer",135
2021,1,8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",112
2021,1,8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",3
2021,1,8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",70
2021,1,8,"Nou Barris",49,"Canyelles","Contractes de lloguer",9
2021,1,8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",62
2021,1,8,"Nou Barris",51,"Verdun","Contractes de lloguer",62
2021,1,8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",142
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",42
2021,1,8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",4
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",25
2021,1,8,"Nou Barris",56,"Vallbona","Contractes de lloguer",1
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",45
2021,1,9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",4
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",47
2021,1,9,"Sant Andreu",60,"Sant Andreu","Contractes de lloguer",300
2021,1,9,"Sant Andreu",61,"la Sagrera","Contractes de lloguer",217
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Contractes de lloguer",102
2021,1,9,"Sant Andreu",63,"Navas","Contractes de lloguer",146
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Contractes de lloguer",396
2021,1,10,"Sant Martí",65,"el Clot","Contractes de lloguer",228
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",122
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",69
2021,1,10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",297
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",142
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",94
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",114
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",127
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",101
2021,1,99,"No consta",99,"No consta","Contractes de lloguer",382
2021,2,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",499
2021,2,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",287
2021,2,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",107
2021,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",345
2021,2,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",370
2021,2,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",609
2021,2,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",610
2021,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",592
2021,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",638
2021,2,2,"Eixample",10,"Sant Antoni","Contractes de lloguer",416
2021,2,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",387
2021,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",4
2021,2,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",107
2021,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",73
2021,2,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",187
2021,2,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",119
2021,2,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",201
2021,2,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",379
2021,2,4,"Les Corts",19,"les Corts","Contractes de lloguer",381
2021,2,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",169
2021,2,4,"Les Corts",21,"Pedralbes","Contractes de lloguer",53
2021,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",18
2021,2,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",216
2021,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",94
2021,2,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",293
2021,2,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",457
2021,2,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",329
2021,2,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",146
2021,2,6,"Gràcia",29,"el Coll","Contractes de lloguer",54
2021,2,6,"Gràcia",30,"la Salut","Contractes de lloguer",106
2021,2,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",757
2021,2,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",357
2021,2,7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",213
2021,2,7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",65
2021,2,7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",298
2021,2,7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",29
2021,2,7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",198
2021,2,7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",74
2021,2,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",34
2021,2,7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",38
2021,2,7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",26
2021,2,7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",4
2021,2,7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",162
2021,2,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",161
2021,2,8,"Nou Barris",45,"Porta","Contractes de lloguer",140
2021,2,8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",104
2021,2,8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",0
2021,2,8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",75
2021,2,8,"Nou Barris",49,"Canyelles","Contractes de lloguer",8
2021,2,8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",57
2021,2,8,"Nou Barris",51,"Verdun","Contractes de lloguer",67
2021,2,8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",132
