"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2014,"1",1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",356
2014,"1",1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",135
2014,"1",1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",130
2014,"1",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",196
2014,"1",2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",203
2014,"1",2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",298
2014,"1",2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",312
2014,"1",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",352
2014,"1",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",428
2014,"1",2,"Eixample",10,"Sant Antoni","Contractes de lloguer",286
2014,"1",3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",270
2014,"1",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",1
2014,"1",3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",83
2014,"1",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",56
2014,"1",3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",117
2014,"1",3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",89
2014,"1",3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",149
2014,"1",3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",316
2014,"1",4,"Les Corts",19,"les Corts","Contractes de lloguer",222
2014,"1",4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",100
2014,"1",4,"Les Corts",21,"Pedralbes","Contractes de lloguer",50
2014,"1",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",9
2014,"1",5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",109
2014,"1",5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",71
2014,"1",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",120
2014,"1",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",293
2014,"1",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",214
2014,"1",6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",75
2014,"1",6,"Gràcia",29,"el Coll","Contractes de lloguer",43
2014,"1",6,"Gràcia",30,"la Salut","Contractes de lloguer",77
2014,"1",6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",512
2014,"1",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",199
2014,"1",7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",141
2014,"1",7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",47
2014,"1",7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",201
2014,"1",7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",21
2014,"1",7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",150
2014,"1",7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",54
2014,"1",7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",32
2014,"1",7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",11
2014,"1",7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",11
2014,"1",7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",1
2014,"1",7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",109
2014,"1",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",125
2014,"1",8,"Nou Barris",45,"Porta","Contractes de lloguer",120
2014,"1",8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",69
2014,"1",8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",15
2014,"1",8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",53
2014,"1",8,"Nou Barris",49,"Canyelles","Contractes de lloguer",6
2014,"1",8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",61
2014,"1",8,"Nou Barris",51,"Verdun","Contractes de lloguer",47
2014,"1",8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",114
2014,"1",8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",34
2014,"1",8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",2
2014,"1",8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",40
2014,"1",8,"Nou Barris",56,"Vallbona","Contractes de lloguer",1
2014,"1",9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",41
2014,"1",9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",5
2014,"1",9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",38
2014,"1",9,"Sant Andreu",60,"Sant Andreu","Contractes de lloguer",267
2014,"1",9,"Sant Andreu",61,"la Sagrera","Contractes de lloguer",154
2014,"1",9,"Sant Andreu",62,"el Congrés i els Indians","Contractes de lloguer",71
2014,"1",9,"Sant Andreu",63,"Navas","Contractes de lloguer",101
2014,"1",10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Contractes de lloguer",245
2014,"1",10,"Sant Martí",65,"el Clot","Contractes de lloguer",135
2014,"1",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",72
2014,"1",10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",36
2014,"1",10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",177
2014,"1",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",68
2014,"1",10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",79
2014,"1",10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",85
2014,"1",10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",84
2014,"1",10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",69
2014,"1",99,"No consta",99,"No consta","Contractes de lloguer",1799
2014,"2",1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",409
2014,"2",1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",169
2014,"2",1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",164
2014,"2",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",264
2014,"2",2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",257
2014,"2",2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",391
2014,"2",2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",372
2014,"2",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",370
2014,"2",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",419
2014,"2",2,"Eixample",10,"Sant Antoni","Contractes de lloguer",262
2014,"2",3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",278
2014,"2",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",1
2014,"2",3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",113
2014,"2",3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",52
2014,"2",3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",125
2014,"2",3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",90
2014,"2",3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",168
2014,"2",3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",265
2014,"2",4,"Les Corts",19,"les Corts","Contractes de lloguer",253
2014,"2",4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",106
2014,"2",4,"Les Corts",21,"Pedralbes","Contractes de lloguer",50
2014,"2",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",14
2014,"2",5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",117
2014,"2",5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",75
2014,"2",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",158
2014,"2",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",318
2014,"2",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",229
2014,"2",6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",97
2014,"2",6,"Gràcia",29,"el Coll","Contractes de lloguer",48
2014,"2",6,"Gràcia",30,"la Salut","Contractes de lloguer",76
2014,"2",6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",570
2014,"2",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",217
2014,"2",7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",163
2014,"2",7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",50
2014,"2",7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",239
2014,"2",7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",27
2014,"2",7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",166
2014,"2",7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",59
2014,"2",7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",40
2014,"2",7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",17
2014,"2",7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",16
2014,"2",7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",2
2014,"2",7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",114
2014,"2",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",108
2014,"2",8,"Nou Barris",45,"Porta","Contractes de lloguer",132
2014,"2",8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",92
2014,"2",8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",7
2014,"2",8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",70
2014,"2",8,"Nou Barris",49,"Canyelles","Contractes de lloguer",7
2014,"2",8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",67
2014,"2",8,"Nou Barris",51,"Verdun","Contractes de lloguer",64
2014,"2",8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",125
2014,"2",8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",36
2014,"2",8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",20
2014,"2",8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",30
2014,"2",8,"Nou Barris",56,"Vallbona","Contractes de lloguer",3
2014,"2",9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",41
