"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2020,1,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",485
2020,1,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",229
2020,1,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",83
2020,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",276
2020,1,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",245
2020,1,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",427
2020,1,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",477
2020,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",455
2020,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",477
2020,1,2,"Eixample",10,"Sant Antoni","Contractes de lloguer",297
2020,1,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",315
2020,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",4
2020,1,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",97
2020,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",62
2020,1,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",120
2020,1,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",99
2020,1,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",152
2020,1,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",343
2020,1,4,"Les Corts",19,"les Corts","Contractes de lloguer",311
2020,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",131
2020,1,4,"Les Corts",21,"Pedralbes","Contractes de lloguer",50
2020,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",10
2020,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",184
2020,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",100
2020,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",176
2020,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",427
2020,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",273
2020,1,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",130
2020,1,6,"Gràcia",29,"el Coll","Contractes de lloguer",54
2020,1,6,"Gràcia",30,"la Salut","Contractes de lloguer",80
2020,1,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",532
2020,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",273
2020,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",158
2020,1,7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",53
2020,1,7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",261
2020,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",38
2020,1,7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",180
2020,1,7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",61
2020,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",32
2020,1,7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",37
2020,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",32
2020,1,7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",2
2020,1,7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",145
2020,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",113
2020,1,8,"Nou Barris",45,"Porta","Contractes de lloguer",120
2020,1,8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",81
2020,1,8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",3
2020,1,8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",81
2020,1,8,"Nou Barris",49,"Canyelles","Contractes de lloguer",15
2020,1,8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",62
2020,1,8,"Nou Barris",51,"Verdun","Contractes de lloguer",66
2020,1,8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",115
2020,1,8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",34
2020,1,8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",7
2020,1,8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",25
2020,1,8,"Nou Barris",56,"Vallbona","Contractes de lloguer",1
2020,1,9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",39
2020,1,9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",6
2020,1,9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",53
