"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2019,1,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",499
2019,1,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",244
2019,1,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",109
2019,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",323
2019,1,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",281
2019,1,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",494
2019,1,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",519
2019,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",521
2019,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",534
2019,1,2,"Eixample",10,"Sant Antoni","Contractes de lloguer",302
2019,1,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",348
2019,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",0
2019,1,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",110
2019,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",100
2019,1,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",132
2019,1,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",120
2019,1,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",202
2019,1,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",352
2019,1,4,"Les Corts",19,"les Corts","Contractes de lloguer",334
2019,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",147
2019,1,4,"Les Corts",21,"Pedralbes","Contractes de lloguer",63
2019,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",17
2019,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",182
2019,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",91
2019,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",235
2019,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",415
2019,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",317
2019,1,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",120
2019,1,6,"Gràcia",29,"el Coll","Contractes de lloguer",49
2019,1,6,"Gràcia",30,"la Salut","Contractes de lloguer",103
2019,1,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",683
2019,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",307
2019,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",198
2019,1,7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",74
2019,1,7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",293
2019,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",40
2019,1,7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",184
2019,1,7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",59
2019,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",51
2019,1,7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",42
2019,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",28
2019,1,7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",3
2019,1,7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",165
2019,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",162
2019,1,8,"Nou Barris",45,"Porta","Contractes de lloguer",132
2019,1,8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",101
2019,1,8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",1
2019,1,8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",74
2019,1,8,"Nou Barris",49,"Canyelles","Contractes de lloguer",14
2019,1,8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",60
2019,1,8,"Nou Barris",51,"Verdun","Contractes de lloguer",79
2019,1,8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",160
2019,1,8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",24
2019,1,8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",3
2019,1,8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",35
2019,1,8,"Nou Barris",56,"Vallbona","Contractes de lloguer",0
2019,1,9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",45
2019,1,9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",1
2019,1,9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",43
2019,1,9,"Sant Andreu",60,"Sant Andreu","Contractes de lloguer",306
2019,1,9,"Sant Andreu",61,"la Sagrera","Contractes de lloguer",183
2019,1,9,"Sant Andreu",62,"el Congrés i els Indians","Contractes de lloguer",94
2019,1,9,"Sant Andreu",63,"Navas","Contractes de lloguer",113
2019,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Contractes de lloguer",316
2019,1,10,"Sant Martí",65,"el Clot","Contractes de lloguer",174
2019,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",93
2019,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",54
2019,1,10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",281
2019,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",99
2019,1,10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",102
2019,1,10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",105
2019,1,10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",128
2019,1,10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",100
2019,1,99,"No consta",99,"No consta","Contractes de lloguer",360
2019,2,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",481
2019,2,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",212
2019,2,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",99
2019,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",325
2019,2,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",263
2019,2,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",468
2019,2,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",498
2019,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",491
2019,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",495
2019,2,2,"Eixample",10,"Sant Antoni","Contractes de lloguer",355
2019,2,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",316
2019,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",2
2019,2,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",116
2019,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",65
2019,2,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",147
2019,2,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",89
2019,2,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",166
2019,2,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",336
2019,2,4,"Les Corts",19,"les Corts","Contractes de lloguer",325
2019,2,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",157
2019,2,4,"Les Corts",21,"Pedralbes","Contractes de lloguer",65
2019,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",20
2019,2,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",173
2019,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",89
2019,2,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",222
2019,2,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",452
2019,2,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",335
2019,2,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",141
2019,2,6,"Gràcia",29,"el Coll","Contractes de lloguer",56
2019,2,6,"Gràcia",30,"la Salut","Contractes de lloguer",72
2019,2,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",642
2019,2,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",292
2019,2,7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",176
2019,2,7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",61
2019,2,7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",283
2019,2,7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",33
2019,2,7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",176
2019,2,7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",77
2019,2,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",52
2019,2,7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",48
2019,2,7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",26
2019,2,7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",2
2019,2,7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",147
2019,2,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",128
2019,2,8,"Nou Barris",45,"Porta","Contractes de lloguer",136
2019,2,8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",100
2019,2,8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",1
2019,2,8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",84
2019,2,8,"Nou Barris",49,"Canyelles","Contractes de lloguer",18
2019,2,8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",76
2019,2,8,"Nou Barris",51,"Verdun","Contractes de lloguer",63
2019,2,8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",135
2019,2,8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",29
2019,2,8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",4
2019,2,8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",34
2019,2,8,"Nou Barris",56,"Vallbona","Contractes de lloguer",3
2019,2,9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",44
2019,2,9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",1
2019,2,9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",38
2019,2,9,"Sant Andreu",60,"Sant Andreu","Contractes de lloguer",283
2019,2,9,"Sant Andreu",61,"la Sagrera","Contractes de lloguer",185
2019,2,9,"Sant Andreu",62,"el Congrés i els Indians","Contractes de lloguer",77
2019,2,9,"Sant Andreu",63,"Navas","Contractes de lloguer",114
2019,2,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Contractes de lloguer",350
2019,2,10,"Sant Martí",65,"el Clot","Contractes de lloguer",154
2019,2,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",126
2019,2,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",65
2019,2,10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",268
2019,2,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",73
2019,2,10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",99
2019,2,10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",111
2019,2,10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",117
2019,2,10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",98
2019,2,99,"No consta",99,"No consta","Contractes de lloguer",407
2019,3,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",438
2019,3,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",221
2019,3,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",83
2019,3,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",339
2019,3,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",285
2019,3,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",488
2019,3,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",496
2019,3,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",564
2019,3,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",624
2019,3,2,"Eixample",10,"Sant Antoni","Contractes de lloguer",401
2019,3,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",300
2019,3,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",5
2019,3,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",81
2019,3,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",91
2019,3,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",108
2019,3,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",91
2019,3,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",195
2019,3,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",367
2019,3,4,"Les Corts",19,"les Corts","Contractes de lloguer",393
2019,3,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",207
2019,3,4,"Les Corts",21,"Pedralbes","Contractes de lloguer",71
2019,3,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",21
2019,3,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",217
2019,3,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",109
2019,3,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",263
2019,3,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",461
2019,3,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",327
2019,3,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",139
2019,3,6,"Gràcia",29,"el Coll","Contractes de lloguer",47
2019,3,6,"Gràcia",30,"la Salut","Contractes de lloguer",97
2019,3,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",659
2019,3,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer",322
2019,3,7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer",196
2019,3,7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer",52
2019,3,7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer",230
2019,3,7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer",31
2019,3,7,"Horta-Guinardó",37,"el Carmel","Contractes de lloguer",160
2019,3,7,"Horta-Guinardó",38,"la Teixonera","Contractes de lloguer",66
2019,3,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Contractes de lloguer",36
2019,3,7,"Horta-Guinardó",40,"Montbau","Contractes de lloguer",38
2019,3,7,"Horta-Guinardó",41,"la Vall d'Hebron","Contractes de lloguer",26
2019,3,7,"Horta-Guinardó",42,"la Clota","Contractes de lloguer",4
2019,3,7,"Horta-Guinardó",43,"Horta","Contractes de lloguer",140
2019,3,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Contractes de lloguer",115
2019,3,8,"Nou Barris",45,"Porta","Contractes de lloguer",121
2019,3,8,"Nou Barris",46,"el Turó de la Peira","Contractes de lloguer",96
2019,3,8,"Nou Barris",47,"Can Peguera","Contractes de lloguer",2
2019,3,8,"Nou Barris",48,"la Guineueta","Contractes de lloguer",50
2019,3,8,"Nou Barris",49,"Canyelles","Contractes de lloguer",9
2019,3,8,"Nou Barris",50,"les Roquetes","Contractes de lloguer",53
2019,3,8,"Nou Barris",51,"Verdun","Contractes de lloguer",82
2019,3,8,"Nou Barris",52,"la Prosperitat","Contractes de lloguer",121
2019,3,8,"Nou Barris",53,"la Trinitat Nova","Contractes de lloguer",31
2019,3,8,"Nou Barris",54,"Torre Baró","Contractes de lloguer",4
2019,3,8,"Nou Barris",55,"Ciutat Meridiana","Contractes de lloguer",25
2019,3,8,"Nou Barris",56,"Vallbona","Contractes de lloguer",5
2019,3,9,"Sant Andreu",57,"la Trinitat Vella","Contractes de lloguer",34
2019,3,9,"Sant Andreu",58,"Baró de Viver","Contractes de lloguer",4
2019,3,9,"Sant Andreu",59,"el Bon Pastor","Contractes de lloguer",34
2019,3,9,"Sant Andreu",60,"Sant Andreu","Contractes de lloguer",247
2019,3,9,"Sant Andreu",61,"la Sagrera","Contractes de lloguer",152
2019,3,9,"Sant Andreu",62,"el Congrés i els Indians","Contractes de lloguer",78
2019,3,9,"Sant Andreu",63,"Navas","Contractes de lloguer",106
2019,3,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Contractes de lloguer",291
2019,3,10,"Sant Martí",65,"el Clot","Contractes de lloguer",152
2019,3,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Contractes de lloguer",116
2019,3,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Contractes de lloguer",68
2019,3,10,"Sant Martí",68,"el Poblenou","Contractes de lloguer",258
2019,3,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Contractes de lloguer",67
2019,3,10,"Sant Martí",70,"el Besòs i el Maresme","Contractes de lloguer",110
2019,3,10,"Sant Martí",71,"Provençals del Poblenou","Contractes de lloguer",90
2019,3,10,"Sant Martí",72,"Sant Martí de Provençals","Contractes de lloguer",112
2019,3,10,"Sant Martí",73,"la Verneda i la Pau","Contractes de lloguer",96
2019,3,99,"No consta",99,"No consta","Contractes de lloguer",375
2019,4,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer",511
2019,4,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer",213
2019,4,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer",94
2019,4,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer",353
2019,4,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer",315
2019,4,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer",527
2019,4,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer",564
2019,4,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer",535
2019,4,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer",583
2019,4,2,"Eixample",10,"Sant Antoni","Contractes de lloguer",391
2019,4,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer",337
2019,4,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer",56
2019,4,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer",104
2019,4,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer",64
2019,4,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer",135
2019,4,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer",95
2019,4,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer",193
2019,4,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer",393
2019,4,4,"Les Corts",19,"les Corts","Contractes de lloguer",342
2019,4,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer",140
2019,4,4,"Les Corts",21,"Pedralbes","Contractes de lloguer",56
2019,4,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer",19
2019,4,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer",216
2019,4,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer",119
2019,4,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer",240
2019,4,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer",446
2019,4,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer",359
2019,4,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer",158
2019,4,6,"Gràcia",29,"el Coll","Contractes de lloguer",62
2019,4,6,"Gràcia",30,"la Salut","Contractes de lloguer",116
2019,4,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer",698
